タイトル,NDC分類,NDC分類名,ページ数,著者名,刊行年月日,購入年月日,去年の貸出数,縦(mm),横(mm),厚み(mm),重さ(g),蔵書数,巻数,出版社
数学入門,410,数学,283,石川 光,2010/5/22,2010/8/21,7,217,140,29,829,1,,弘文堂
図書_3920,480,動物学,215,西村 隆,2019/12/9,2020/10/30,3,253,178,24,1279,1,,ハヤカワ書房
night of Oslo,953,フランス文学・小説,261,Barbara Lewis,1984/3/14,1984/7/7,12,153,102,17,262,1,,勁草書房
雪と法律学,320,法律,251,三浦 博,1958/8/17,1958/10/13,3,216,157,28,921,1,,東京創元社
The wild mountain,933,英米文学・小説,260,Barbara Lewis,2007/4/5,2007/6/26,9,175,131,22,504,1,,勁草書房
図書_4536,500,技術・工学総記,318,高橋 次郎,1988/12/2,1988/12/29,3,214,138,31,828,1,,祥伝社
霧と奇跡 8巻,933,英米文学・小説,281,Betty Adams,2011/10/3,2012/1/27,3,181,128,25,512,1,8,技術評論社
画家と戦国,280,伝記,417,原田 大輔,2014/1/1,2014/12/22,8,262,189,51,2201,1,,技術評論社
図書_3830,470,植物学,183,近藤 誠,2019/4/26,2019/12/29,12,249,185,20,860,1,,弘文堂
図書_2112,430,化学,397,坂本 誠,2019/6/3,2020/7/2,15,254,174,38,1445,1,,翔泳社
図書_4700,750,工芸,361,吉田 敦,2015/11/10,2016/1/1,20,145,100,26,342,1,,角川書店
教師の鍵,913,日本文学・小説,366,渡辺 陽,1958/7/6,1958/8/4,6,179,119,31,624,1,,東京創元社
図書_3339,750,工芸,214,三浦 正樹,1963/4/13,1963/8/14,3,225,159,22,749,1,,光文社
白い鍵シリーズ 8巻,914,日本文学・随筆,314,高橋 浩二,2005/1/2,2005/4/23,4,187,125,30,635,1,8,日本評論社
中世の日本史,210,日本史,298,福田 次郎,1970/2/4,1971/10/20,4,257,172,38,1469,1,,ミネルヴァ書房
川と知識,770,演劇,331,青木 慎吾,2018/7/4,2018/12/12,7,146,102,35,477,1,,日本評論社
図書_2725,510,土木工学,194,西村 拓哉,2022/7/21,2022/9/12,8,257,189,21,931,1,,PHP研究所
旅人の言葉,913,日本文学・小説,278,柴田 蓮,2022/8/14,2022/8/28,12,185,120,30,708,1,,福音館書店
森と未来 3巻,914,日本文学・随筆,242,工藤 由美,2018/12/1,2018/12/23,9,154,102,16,242,1,3,PHP研究所
図書_4556,540,電気工学,206,山本 次郎,2023/7/18,2023/10/19,17,259,186,25,1169,1,,有斐閣
冷たい仏教学,180,仏教,305,松本 由美,2014/9/13,2014/10/30,5,251,174,36,1458,1,,早川書房
図書_4079,350,統計学,187,西田 凛,1966/1/1,1966/3/25,4,150,99,18,249,1,,福音館書店
夜の光,913,日本文学・小説,237,三浦 和子,1976/4/22,1976/7/17,4,189,130,22,488,1,,弘文堂
細い丘シリーズ 1巻,933,英米文学・小説,183,Mark Phillips,2013/8/7,2013/12/15,7,173,133,14,290,1,1,光文社
図書_4171,580,製造工業,544,工藤 拓哉,1993/7/17,1994/3/14,9,176,94,56,777,1,,双葉社
新しい光,930,英米文学総記,297,Betty Adams,2021/5/23,2021/7/12,3,205,156,32,956,1,,技術評論社
教師と江戸,210,日本史,453,三浦 直子,2009/4/19,2009/6/16,6,255,179,58,2352,1,,朝倉書店
平安人物伝,280,伝記,264,長谷川 咲,2007/5/16,2007/5/17,6,236,175,26,1008,1,,祥伝社
図書_2712,548,情報工学,333,佐藤 理恵,1985/1/14,1985/3/4,7,256,190,41,1734,1,,偕成社
窓の伝説 4巻,914,日本文学・随筆,380,菅原 典子,2003/9/2,2004/2/24,5,147,106,29,429,2,4,東京創元社
図書_2347,480,動物学,358,小林 奈々,2020/11/10,2021/2/9,11,204,138,45,1211,1,,岩波書店
石と知識,340,財政学,377,藤原 理恵,2008/9/1,2009/1/24,9,214,169,40,1452,1,,祥伝社
仏教学のすすめ,180,仏教,256,田中 光,2020/7/8,2020/11/11,8,176,99,28,451,1,,日本評論社
dream of Paris,953,フランス文学・小説,333,Patricia Harris,2017/8/17,2018/3/2,13,150,107,22,319,1,,翔泳社
図書_3328,548,情報工学,397,斎藤 花子,2019/8/23,2020/4/14,3,261,176,47,2005,1,,早川書房
魔法の霧 4巻,913,日本文学・小説,366,柴田 雄一,2009/11/12,2009/12/1,5,185,128,34,701,2,4,翔泳社
遠いスポーツ科学,780,スポーツ,318,加藤 莉子,2018/8/21,2018/12/20,6,175,103,34,584,1,,朝倉書店
The hidden shadow,933,英米文学・小説,274,Ashley Collins,2000/3/1,2000/8/24,18,227,149,30,891,1,,双葉社
図書_4233,420,物理学,422,清水 博,2016/3/21,2017/2/7,7,223,140,48,1368,1,,丸善
魔法の丘 2巻,913,日本文学・小説,275,田中 蓮,1996/6/3,1996/10/5,8,148,104,24,375,1,2,福音館書店
空と勇気,913,日本文学・小説,243,平野 正樹,2011/11/16,2012/10/17,15,188,124,19,411,1,,新潮社
図書_4624,530,機械工学,583,斎藤 京子,2003/1/21,2003/5/31,18,255,180,83,3293,1,,ハヤカワ書房
あの桜の頃の風,913,日本文学・小説,437,鈴木 颯,2018/1/27,2018/2/3,9,240,155,48,1614,1,,祥伝社
花の伝説 9巻,913,日本文学・小説,408,小林 次郎,2008/11/30,2009/4/12,3,154,102,35,460,2,9,集英社
図書_1868,420,物理学,361,村上 蓮,1956/1/6,1956/3/23,5,175,107,36,604,1,,角川書店
写真家と江戸,280,伝記,476,三浦 次郎,2019/5/9,2019/9/5,7,261,179,56,2335,1,,小学館
悲しい記憶譚,913,日本文学・小説,233,田中 直子,2020/4/24,2020/10/14,19,177,122,20,384,1,,吉川弘文館
湖の伝説 6巻,913,日本文学・小説,360,小林 次郎,2000/11/8,2001/2/4,3,185,131,34,720,2,6,ハヤカワ書房
横浜の探偵,913,日本文学・小説,345,小川 京子,2015/10/2,2015/12/24,10,154,98,30,408,1,,新潮社
青い谷譚,913,日本文学・小説,301,中村 奈々,2004/12/6,2004/12/26,7,175,130,26,518,1,,祥伝社
月を探して,930,英米文学総記,289,Nancy Wright,2018/7/15,2018/11/12,15,181,135,28,629,1,,日本評論社
garden of Paris,933,英米文学・小説,302,Joseph Allen,2014/8/11,2015/1/16,15,147,102,21,391,1,,吉川弘文館
図書_3854,820,中国語,190,山口 凛,2002/3/18,2004/4/21,15,152,101,15,231,1,,ハヤカワ書房
図書_4178,140,心理学,292,藤原 奈々,2007/5/1,2007/9/16,11,174,100,30,491,1,,文藝春秋
図書_1810,110,哲学各論,174,西田 湊,1981/12/7,1982/1/8,3,213,153,17,650,1,,祥伝社
輝く日本語学,810,日本語,347,前田 湊,1957/1/22,1957/7/22,4,147,105,25,368,1,,福音館書店
深い森,913,日本文学・小説,417,山本 健一,2023/9/23,2024/1/31,14,180,128,32,722,1,,小学館
あの夏の心,913,日本文学・小説,236,前田 誠,2022/4/19,2022/7/1,13,186,128,18,374,1,,朝倉書店
軽い影譚,913,日本文学・小説,315,井上 誠,2013/7/14,2013/7/23,10,148,100,24,324,1,,講談社
ぼくらの丘 9巻,914,日本文学・随筆,287,柴田 陽,1998/8/30,1998/9/15,3,214,156,28,850,1,9,オーム社
熊本の医者,913,日本文学・小説,571,今井 由美,2011/8/7,2011/8/18,7,148,103,52,722,1,,ハヤカワ書房
彼女の太陽,913,日本文学・小説,366,山本 莉子,1997/3/6,1997/3/29,17,222,154,41,1398,1,,東京創元社
図書_4121,480,動物学,366,菊地 典子,1994/11/26,1995/1/21,10,177,105,37,619,1,,中央公論新社
図書_4802,548,情報工学,227,石川 京子,2013/4/18,2014/12/5,13,214,149,24,668,1,,角川書店
ぼくらの太陽 2巻,913,日本文学・小説,132,藤原 典子,1990/6/29,1990/8/30,12,151,107,10,154,1,2,吉川弘文館
あの初雪の星,913,日本文学・小説,327,清水 花子,2009/5/5,2009/10/31,3,151,101,27,364,1,,オーム社
丘の伝説 3巻,913,日本文学・小説,421,加藤 直子,1997/9/17,1997/10/2,4,152,105,36,500,2,3,中央公論新社
図書_3143,160,宗教総記,338,西田 拓哉,2014/11/18,2014/12/18,4,209,170,34,1174,1,,幻冬舎
図書_4647,420,物理学,319,菊地 光,2019/2/5,2019/6/10,13,228,164,25,1016,1,,光文社
長崎の睦月,914,日本文学・随筆,261,岩田 裕子,2003/7/13,2004/9/28,6,220,142,28,799,1,,翔泳社
花の伝説 4巻,913,日本文学・小説,293,小林 次郎,2000/8/27,2001/1/11,3,145,108,19,276,2,4,翔泳社
図書_2175,850,フランス語,259,山本 葵,1974/7/28,1974/10/17,7,146,107,21,289,1,,早川書房
Beyond the garden,933,英米文学・小説,330,Dorothy Carter,2008/1/27,2008/6/10,7,225,153,35,1175,1,,光文社
作家の樹,914,日本文学・随筆,324,青木 浩二,2021/1/11,2021/7/9,11,150,107,23,341,1,,角川書店
図書_2478,530,機械工学,343,今井 拓哉,1990/5/8,1990/10/16,18,172,106,32,530,1,,幻冬舎
探偵と戦国,230,ヨーロッパ史,337,島田 史郎,2015/2/4,2016/7/10,3,174,100,34,562,1,,早川書房
泉と社会学,360,社会学,286,坂本 奈々,1996/3/14,1996/7/26,10,219,147,30,988,1,,技術評論社
図書_2580,30,百科事典,338,岡田 文子,1956/8/23,1959/2/11,7,233,129,37,1088,1,,PHP研究所
古い日本語学,810,日本語,440,柴田 莉子,2014/8/14,2015/3/11,6,186,126,42,928,1,,日本評論社
王子と波,914,日本文学・随筆,384,吉田 奈々,2022/10/18,2023/5/29,6,187,127,29,610,1,,集英社
横浜を旅する,210,日本史,556,鈴木 湊,2014/4/11,2014/6/16,7,166,102,55,834,1,,弘文堂
魔法の草原 3巻,913,日本文学・小説,280,村上 光,2011/8/24,2011/10/15,7,211,135,26,663,1,3,オーム社
A bright storm,933,英米文学・小説,331,Lisa Green,1965/6/26,1965/10/21,12,233,143,41,1249,1,,文藝春秋
図書_2759,440,天文学,520,柴田 莉子,1953/7/16,1953/10/29,6,251,181,62,2485,1,,弘文堂
森のかけら,913,日本文学・小説,244,原田 裕子,1975/11/20,1976/1/17,10,150,102,18,268,1,,角川書店
図書_4755,340,財政学,136,阿部 裕子,2023/12/19,2024/4/7,6,184,122,10,266,1,,文藝春秋
あの梅雨の泉,916,日本文学・記録・手記,326,前田 翔,2019/1/16,2019/3/6,20,148,104,29,413,1,,PHP研究所
嵐と法律学,320,法律,153,山口 花子,2022/2/10,2024/2/6,28,149,107,12,183,1,,東京創元社
火と秘密 1巻,913,日本文学・小説,389,青木 太郎,2010/12/31,2011/6/16,19,186,135,32,783,2,1,集英社
長い夢シリーズ 2巻,913,日本文学・小説,252,山本 典子,1993/8/10,1994/1/31,10,236,160,31,1264,1,2,PHP研究所
輝く扉シリーズ 4巻,913,日本文学・小説,462,西村 文子,2008/5/1,2008/6/24,14,147,105,32,489,1,4,早川書房
図書_2856,570,化学工業,335,池田 一朗,2022/4/3,2023/7/14,22,176,102,29,463,1,,ポプラ社
図書_4765,350,統計学,226,木村 奈々,2018/8/7,2019/6/12,7,183,129,22,547,1,,丸善
海と心理学,140,心理学,230,池田 直子,2016/6/8,2016/7/27,6,198,179,26,867,1,,吉川弘文館
強い音楽,760,音楽,323,池田 凛,1953/1/18,1953/7/9,8,215,140,36,1047,1,,ポプラ社
The Last heart,933,英米文学・小説,338,Laura Davis,2023/3/20,2023/9/20,9,212,158,36,1132,1,,早川書房
火を探して,913,日本文学・小説,488,石川 大輔,2019/10/25,2020/3/20,5,174,121,43,856,1,,集英社
写真家の丘,910,日本文学総記,447,西田 大輔,2023/3/5,2023/9/20,16,208,169,53,1814,1,,吉川弘文館
軽い哲学,100,哲学総記,291,村上 由美,2018/11/7,2018/12/18,8,171,100,23,360,1,,光文社
あの桜の頃の橋,913,日本文学・小説,400,岩田 拓哉,2007/12/27,2007/12/28,11,185,125,44,902,1,,日本評論社
星王国 1巻,913,日本文学・小説,193,中村 陽,2009/2/12,2009/4/1,11,179,127,16,346,1,1,翔泳社
軽い丘譚,910,日本文学総記,421,清水 隆,2013/3/25,2013/8/6,8,152,107,35,514,1,,新潮社
図書_2435,550,海洋工学,482,池田 太郎,1987/3/8,1987/7/7,6,262,176,59,2353,1,,早川書房
魔女と古代,250,北アメリカ史,159,橋本 正樹,2014/7/19,2014/8/13,14,228,166,17,587,1,,集英社
短い扉,913,日本文学・小説,299,池田 雄一,2022/4/4,2022/5/29,5,179,130,27,591,1,,PHP研究所
ぼくらの手紙 1巻,913,日本文学・小説,294,今井 京子,1995/1/24,1995/6/24,5,147,111,22,328,3,1,技術評論社
谷と知識,820,中国語,362,清水 一朗,2014/5/13,2015/5/14,4,201,151,42,1204,1,,オーム社
熱い島,914,日本文学・随筆,289,藤井 隆,2019/9/15,2021/1/24,20,179,129,29,609,1,,中央公論新社
明治の人物伝記,280,伝記,447,今井 奈々,2018/4/18,2018/4/24,5,224,152,36,1148,1,,光文社
魔法の丘 8巻,913,日本文学・小説,289,田中 蓮,2009/1/8,2009/5/11,5,214,137,30,825,3,8,福音館書店
図書_4839,390,国防・軍事,268,伊藤 莉子,1967/5/5,1967/9/22,20,187,132,23,535,1,,吉川弘文館
図書_3003,500,技術・工学総記,369,藤原 裕子,2006/10/22,2007/1/30,12,224,177,42,1452,1,,勁草書房
長野の夕凪,913,日本文学・小説,271,木村 文子,2005/5/18,2005/7/23,13,149,104,26,385,1,,祥伝社
Charlotte's light,953,フランス文学・小説,294,Richard Martin,1959/9/15,1960/2/22,15,209,157,32,1032,1,,福音館書店
侍女の湖,914,日本文学・随筆,217,杉山 葵,1994/6/9,1995/6/4,15,219,144,25,915,1,,文藝春秋
大きな森,913,日本文学・小説,267,岡田 莉子,2022/5/24,2023/1/15,29,144,108,25,336,1,,日本評論社
図書_4379,790,諸芸・娯楽,283,岡田 奈々,2017/7/7,2017/7/7,8,217,144,29,926,1,,双葉社
詳解化学,430,化学,160,石川 美咲,1988/6/9,1988/10/4,21,261,176,17,676,1,,弘文堂
風を探して,914,日本文学・随筆,316,長谷川 光,1988/4/9,1989/10/22,9,180,139,30,661,1,,翔泳社
図書_4618,540,電気工学,264,橋本 敦,1992/8/28,1993/7/20,16,176,105,24,371,1,,ハヤカワ書房
画家と草原,930,英米文学総記,294,Thomas Moore,2014/11/10,2015/4/5,10,150,105,20,281,1,,ハヤカワ書房
道の伝説 4巻,913,日本文学・小説,149,島田 太郎,2014/11/18,2015/3/10,9,150,105,13,185,1,4,技術評論社
短い道,914,日本文学・随筆,403,渡辺 陽,2001/4/2,2001/7/18,4,177,128,38,776,1,,日本評論社
現代写真,740,写真,292,林 太郎,2010/6/6,2011/2/18,3,209,176,29,998,1,,岩波書店
小さな写真,740,写真,359,近藤 健一,1954/6/2,1954/8/11,5,212,133,41,1052,1,,東京創元社
不思議な教育学,370,教育学,416,島田 浩二,2006/3/27,2006/5/10,6,146,102,37,461,1,,偕成社
図書_4696,340,財政学,317,小林 大輔,2018/5/24,2018/7/17,9,152,105,27,369,1,,オーム社
教師の雪,913,日本文学・小説,254,柴田 直子,1992/8/21,1992/11/12,7,155,103,23,344,1,,有斐閣
あの夜の星,916,日本文学・記録・手記,257,山本 湊,1957/5/1,1957/10/26,8,148,105,20,263,1,,角川書店
福岡の作家,913,日本文学・小説,296,斎藤 湊,2016/2/7,2016/7/25,18,187,130,22,510,1,,小学館
化学実習,430,化学,451,林 凛,2018/2/13,2018/8/21,17,213,165,46,1482,1,,講談社
図書_4191,90,郷土資料,257,西田 陽,2001/7/6,2001/11/8,8,232,145,24,850,1,,技術評論社
ぼくの火,929,中国文学・小説,252,土屋 咲,2019/1/11,2019/3/30,12,224,148,30,898,1,,東京創元社
小さな橋シリーズ 2巻,914,日本文学・随筆,241,小林 健一,2009/1/8,2009/6/27,9,185,132,22,479,1,2,ハヤカワ書房
優しい雨,910,日本文学総記,575,藤井 太郎,2000/7/2,2000/9/15,12,183,134,55,1183,1,,朝倉書店
図書_4260,548,情報工学,306,阿部 雄一,2019/5/27,2019/11/29,46,217,153,28,865,1,,弘文堂
花の伝説 6巻,913,日本文学・小説,265,小林 次郎,2004/2/21,2004/3/11,3,184,129,24,551,1,6,集英社
老人と江戸,210,日本史,291,柴田 大輔,2023/9/22,2023/10/14,10,171,108,30,531,1,,幻冬舎
A golden road,953,フランス文学・小説,257,James Wilson,1958/5/3,1958/7/31,14,181,132,23,528,1,,集英社
図書_2219,420,物理学,356,前田 香織,1986/10/26,1987/7/19,5,258,182,41,1738,1,,小学館
図書_2313,450,地球科学,404,清水 理恵,2023/12/1,2024/7/4,33,224,156,51,1610,1,,小学館
魔法の扉 2巻,933,英米文学・小説,321,Dorothy Carter,2010/12/12,2011/5/22,5,148,108,25,349,2,2,東京創元社
熊本の侍女,930,英米文学総記,268,Nancy Wright,2013/9/21,2013/11/21,14,184,132,26,563,1,,オーム社
料理人と波,910,日本文学総記,436,工藤 三郎,2018/12/21,2019/4/30,11,220,136,51,1399,1,,技術評論社
樹を探して,913,日本文学・小説,176,小林 葵,2000/4/7,2001/4/4,3,218,160,20,612,1,,岩波書店
dream of Oslo,953,フランス文学・小説,288,Dorothy Carter,2011/3/13,2011/3/20,9,151,101,24,403,1,,講談社
Beyond the forest,933,英米文学・小説,248,Lisa Green,2016/3/13,2016/5/30,11,216,150,25,775,1,,弘文堂
遠い石譚,930,英米文学総記,286,Donald Turner,2015/12/4,2015/12/20,9,249,147,33,1109,1,,弘文堂
青い心譚,914,日本文学・随筆,226,原田 陽,2000/3/8,2000/3/9,4,209,147,25,682,1,,ミネルヴァ書房
青い哲学,100,哲学総記,272,田中 次郎,1980/10/22,1980/12/2,10,256,179,29,1423,1,,幻冬舎
ぼくらの石 4巻,914,日本文学・随筆,388,井上 一朗,2012/2/9,2012/4/21,9,181,130,33,687,2,4,祥伝社
図書_4642,490,医学,346,清水 正樹,2008/6/26,2009/4/22,14,251,178,42,1765,1,,光文社
The broken star,933,英米文学・小説,285,Laura Davis,2019/12/3,2019/12/15,11,156,96,24,327,1,,早川書房
影と西洋哲学,130,西洋哲学,396,佐藤 葵,1980/6/5,1980/9/21,8,219,155,44,1391,1,,朝倉書店
星と知識,340,財政学,353,池田 美咲,2023/2/26,2023/7/4,21,211,155,40,1215,1,,講談社
図書_2645,420,物理学,347,西村 理恵,2011/5/22,2011/7/5,3,257,178,41,1651,1,,集英社
雨の伝説 4巻,913,日本文学・小説,359,村上 光,2007/9/24,2008/1/28,5,146,107,21,291,1,4,ポプラ社
少年の言葉,913,日本文学・小説,401,木村 凛,2022/5/23,2022/10/10,14,180,121,36,697,1,,早川書房
図書_4575,770,演劇,271,原田 美咲,1975/1/9,1976/3/19,7,235,158,35,1185,1,,新潮社
山と倫理学,150,倫理学,232,小川 誠,2013/8/12,2014/4/24,12,265,183,27,1325,1,,勁草書房
図書_4454,490,医学,554,土屋 奈々,1952/6/25,1952/7/29,32,252,176,68,2657,1,,オーム社
軽い嵐譚,913,日本文学・小説,318,大野 颯,2023/3/14,2023/4/11,3,153,106,22,344,1,,弘文堂
図書_4498,840,ドイツ語,293,三浦 純,2015/10/12,2015/12/7,7,176,118,24,501,1,,丸善
霧と悲しみ 2巻,913,日本文学・小説,307,吉田 誠,2012/8/5,2012/12/29,4,148,102,24,342,1,2,丸善
物理学のしくみ,420,物理学,409,加藤 翔,2021/6/21,2021/10/10,25,254,182,50,1988,1,,朝倉書店
青い社会学,360,社会学,276,鈴木 由美,2020/1/6,2020/1/23,13,148,106,22,316,1,,技術評論社
図書_3876,500,技術・工学総記,420,加藤 咲,2004/3/28,2005/2/27,5,264,181,57,2315,1,,早川書房
作家と丘,913,日本文学・小説,328,島田 京子,1954/11/8,1955/6/6,14,182,128,27,574,1,,日本評論社
A silent sea,933,英米文学・小説,226,Susan Hall,2015/5/20,2015/6/19,20,206,149,27,741,1,,オーム社
図書_4996,830,英語,246,原田 正樹,1967/9/17,1968/3/22,7,172,106,26,411,1,,東京創元社
青い泉,913,日本文学・小説,360,遠藤 翔,1994/4/1,1994/4/9,3,189,122,31,627,1,,日本評論社
Emma's river,973,ドイツ文学・小説,360,Mark Phillips,2016/10/17,2016/11/18,15,149,105,31,420,1,,幻冬舎
魔法の火 4巻,913,日本文学・小説,338,柴田 典子,1992/7/11,1992/7/29,4,223,161,34,1167,1,4,勁草書房
明るい霧,916,日本文学・記録・手記,219,近藤 颯,1998/7/1,1998/8/8,15,217,147,25,753,1,,オーム社
図書_3378,10,図書館学,199,平野 健一,1980/3/14,1980/7/18,11,173,107,22,365,1,,オーム社
図書_4745,500,技術・工学総記,472,坂本 凛,2023/2/8,2023/3/31,21,167,99,50,732,1,,偕成社
図書_4008,490,医学,384,橋本 凛,1984/1/6,1984/7/8,4,218,130,45,1145,1,,角川書店
図書_4746,200,歴史総記,285,山本 理恵,1987/12/22,1987/12/22,22,224,147,34,1090,1,,弘文堂
はじめての生物学,460,生物科学,262,伊藤 拓哉,1953/3/2,1953/3/24,19,252,182,31,1304,1,,集英社
弱い波譚,913,日本文学・小説,419,岡田 陽,2022/4/8,2022/10/2,39,217,146,40,1149,1,,幻冬舎
嵐と悲しみ,913,日本文学・小説,413,大野 博,1966/6/5,1967/3/16,11,196,128,33,726,1,,小学館
よくわかる工学,500,技術・工学総記,379,渡辺 健一,2016/4/11,2016/6/29,26,259,180,45,1851,1,,ミネルヴァ書房
ぼくらの樹 5巻,913,日本文学・小説,246,橋本 由美,2016/1/9,2016/2/2,3,149,104,16,253,2,5,新潮社
図書_3048,410,数学,258,工藤 香織,2015/12/9,2016/4/14,14,237,149,30,922,1,,ハヤカワ書房
図書_3807,450,地球科学,589,三浦 一朗,2011/7/8,2011/7/8,16,256,174,77,2945,1,,朝倉書店
光の向こうに,929,中国文学・小説,375,小川 光,1971/2/7,1972/5/3,8,147,104,29,396,1,,文藝春秋
あの弥生の窓,914,日本文学・随筆,232,遠藤 正樹,2004/10/26,2005/10/11,7,151,105,20,274,1,,丸善
福岡の残暑,913,日本文学・小説,330,西田 香織,2019/5/14,2020/7/28,7,228,157,41,1377,1,,文藝春秋
図書_4198,548,情報工学,382,長谷川 雄一,2006/4/10,2006/10/31,6,259,173,38,1584,1,,日本評論社
Charlotte's heart,933,英米文学・小説,305,Laura Davis,2006/9/21,2007/6/8,12,232,159,31,1079,1,,早川書房
鍵と憎しみ 1巻,914,日本文学・随筆,248,福田 雄一,2010/3/13,2010/7/29,5,197,142,26,720,1,1,偕成社
窓と奇跡,916,日本文学・記録・手記,186,伊藤 隆,1955/12/18,1957/1/9,9,149,104,18,269,1,,小学館
島と西洋哲学,130,西洋哲学,141,中村 和子,1970/7/3,1970/9/11,8,220,154,12,649,1,,幻冬舎
図書_4027,390,国防・軍事,292,阿部 花子,2015/11/7,2015/11/14,7,148,102,17,422,1,,丸善
図書_4415,350,統計学,313,加藤 理恵,2020/11/3,2020/11/8,17,175,130,27,601,1,,翔泳社
アジア史の歩み,220,アジア史,126,青木 葵,2020/1/15,2021/1/28,3,265,188,15,790,1,,有斐閣
武士の月,916,日本文学・記録・手記,229,藤井 凛,2007/1/11,2007/3/3,3,212,165,27,844,1,,祥伝社
甘い教育学,370,教育学,571,井上 凛,1963/10/23,1964/1/28,14,173,126,57,1100,1,,日本評論社
はじめての工学,500,技術・工学総記,335,平野 太郎,2010/4/26,2010/4/27,4,259,178,42,1698,1,,勁草書房
図書_1225,548,情報工学,329,島田 博,1999/9/27,2001/3/22,7,176,102,29,492,1,,東京創元社
Beyond the shadow,953,フランス文学・小説,212,David Chen,1977/2/5,1977/3/17,8,150,104,16,231,1,,日本評論社
雨の伝説 1巻,913,日本文学・小説,271,村上 光,2002/11/21,2003/4/2,10,214,161,24,755,2,1,ポプラ社
長い夢シリーズ 5巻,913,日本文学・小説,296,山本 典子,1998/5/27,1998/9/5,4,150,102,23,381,1,5,PHP研究所
江戸の歴史,200,歴史総記,513,長谷川 史郎,1990/5/9,1991/3/3,6,170,101,44,652,1,,翔泳社
白い写真,740,写真,305,清水 誠,2018/6/9,2019/11/29,15,169,100,28,469,1,,祥伝社
強い窓,913,日本文学・小説,277,長谷川 誠,2020/8/22,2021/1/30,5,180,134,20,499,1,,祥伝社
図書_2601,530,機械工学,345,松本 京子,2007/4/14,2007/12/15,8,261,176,40,1651,1,,光文社
悲しい記憶,913,日本文学・小説,230,岡田 敦,1980/10/25,1981/9/22,8,187,128,21,487,1,,有斐閣
旅人の霧,910,日本文学総記,297,加藤 恵子,2006/6/7,2006/7/29,11,172,127,24,530,1,,岩波書店
図書_2852,510,土木工学,718,菊地 裕子,1987/1/22,1987/2/27,10,166,99,73,1012,1,,早川書房
ぼくらの太陽 9巻,913,日本文学・小説,224,藤原 典子,2005/9/8,2005/10/16,7,217,152,24,784,2,9,吉川弘文館
新しい絵画・美術,720,絵画,330,今井 慎吾,2018/10/20,2019/1/28,3,149,103,27,390,1,,岩波書店
中世の歴史,240,アフリカ史,107,阿部 湊,2011/6/5,2011/6/23,7,224,152,11,376,1,,福音館書店
料理人と昭和,220,アジア史,332,岩田 由美,1995/10/10,1996/3/25,8,255,183,43,2140,1,,朝倉書店
手紙と勇気 1巻,913,日本文学・小説,315,吉田 凛,2021/1/9,2021/6/6,4,146,107,26,369,2,1,集英社
暗いスポーツ科学,780,スポーツ,232,原田 美咲,2023/5/26,2023/6/23,9,181,138,19,446,1,,新潮社
職人と古代,210,日本史,510,長谷川 史郎,1982/3/19,1982/9/1,5,217,152,55,1729,1,,翔泳社
図書_2276,420,物理学,393,三浦 一朗,1999/6/15,1999/9/21,3,264,179,39,1634,1,,朝倉書店
図書_3867,340,財政学,335,村上 由美,2013/3/22,2014/2/20,8,219,158,39,1241,1,,光文社
物理学ハンドブック,420,物理学,425,福田 裕子,2014/3/20,2014/9/10,11,176,101,38,672,1,,祥伝社
あの神無月の太陽,913,日本文学・小説,432,三浦 直子,1990/12/14,1991/5/13,7,149,107,41,595,1,,ポプラ社
苦い雨シリーズ 7巻,913,日本文学・小説,341,長谷川 光,2005/9/4,2006/2/1,3,150,102,25,367,1,7,オーム社
強い倫理学,150,倫理学,253,高橋 和子,2017/6/17,2018/4/29,9,254,182,28,1277,1,,双葉社
魔法の島 1巻,913,日本文学・小説,393,近藤 太郎,2017/4/3,2017/8/25,23,149,107,33,521,2,1,講談社
画家の山,914,日本文学・随筆,285,前田 正樹,1966/6/21,1966/10/5,8,187,130,28,598,1,,オーム社
図書_4466,460,生物科学,577,三浦 莉子,1966/2/17,1967/4/20,14,256,178,72,2869,1,,文藝春秋
図書_2904,410,数学,156,加藤 慎吾,2014/9/12,2014/12/17,6,259,178,17,746,1,,朝倉書店
図書_2387,10,図書館学,189,近藤 直子,1981/2/10,1981/3/7,42,171,107,19,349,1,,ポプラ社
あの春の石,914,日本文学・随筆,402,池田 大輔,1992/9/15,1995/3/22,11,146,105,28,417,1,,福音館書店
旅人と花,913,日本文学・小説,296,藤原 莉子,1979/2/15,1980/5/28,9,180,121,21,460,1,,吉川弘文館
図書_4761,490,医学,255,林 一朗,2018/1/7,2019/3/3,3,255,187,31,1257,1,,新潮社
詩人と中世,290,地理・地誌,262,中村 凛,2022/9/3,2022/10/2,12,177,105,24,465,1,,集英社
旅人と戦国,230,ヨーロッパ史,284,島田 典子,2016/10/25,2016/12/19,25,260,186,33,1419,1,,オーム社
Amelia's fire,933,英米文学・小説,400,Linda Jackson,1975/12/12,1976/1/2,15,178,133,36,798,1,,光文社
図書_1675,420,物理学,409,遠藤 蓮,1999/9/2,1999/12/7,25,260,180,44,1857,1,,岩波書店
図書_4942,410,数学,483,池田 文子,2021/3/21,2021/11/29,4,250,182,53,2227,1,,ミネルヴァ書房
静かな丘シリーズ 5巻,913,日本文学・小説,315,杉山 理恵,2019/4/3,2019/6/4,11,210,140,37,998,1,5,光文社
